Year,Round,Pick,Player,Position,NBA Team,Prev Team,Games Played,Games Started,Minutes,Points Per Game,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,DBoards,OBoards,Assists,Turnovers,Steals,Blocks,Fouls
2005,1,20,Julius Hodge,SF,DEN,NC State,23,1,4.2,1.22,1.09,0.48,0.44,0,0,0,0.52,0.26,0.5,0.65,0.35,0.3,0.78,0.48,0.26,0,0.57
2005,1,21,Nate Robinson,G,PHX,Washington,618,107,22.5,11.01,9.4,3.98,0.423,3.65,1.31,0.36,2.2,1.75,0.796,2.34,1.72,0.62,2.95,1.42,0.88,0.07,2.4
2005,1,22,Jarrett Jack,G,DEN,Georgia Tech,805,343,28.1,11.03,8.98,3.96,0.441,2.14,0.74,0.345,2.78,2.38,0.856,2.85,2.54,0.32,4.47,2,0.8,0.13,1.84
2005,1,23,Francisco Garcia,GF,SAC,Louisville,549,137,21.6,7.87,6.66,2.85,0.427,2.96,1.06,0.357,1.4,1.12,0.799,2.55,2.04,0.51,1.36,0.99,0.8,0.71,2.24
2005,1,24,Luther Head,G,HOU,Illinois,348,82,22.4,8.17,6.97,2.95,0.423,3.34,1.3,0.388,1.27,0.98,0.773,2.43,2.11,0.32,2.15,1.26,0.73,0.12,1.47
2005,1,25,Johan Petro,C,SEA,Pau-Orthez (France),473,139,15.4,4.66,4.47,2.06,0.462,0.03,0,0.154,0.77,0.52,0.678,3.88,2.75,1.13,0.48,0.79,0.41,0.49,2.45
2005,1,26,Jason Maxiell,PF,DET,Cincinnati,618,188,18.4,5.63,4.57,2.26,0.495,0.01,0,0,1.96,1.11,0.564,4.17,2.47,1.7,0.43,0.79,0.37,0.79,1.94
2005,1,27,Linas Kleiza,F,POR,Missouri,409,65,20,8.71,7.12,3.1,0.435,2.82,0.95,0.335,2.04,1.56,0.763,3.59,2.65,0.95,0.78,1,0.39,0.18,2.17
2005,1,28,Ian Mahinmi,C,SAN,STB Le Havre (France),469,92,16.8,5.16,3.6,1.94,0.539,0.01,0,0,2.14,1.27,0.595,4.36,2.92,1.44,0.49,0.93,0.56,0.73,2.57
2005,1,29,Wayne Simien,F,MIA,Kansas,51,2,9.9,3.31,2.8,1.31,0.469,0,0,0,0.8,0.69,0.854,1.94,1.1,0.84,0.22,0.53,0.29,0.02,1.63
2005,1,30,David Lee,FC,NYK,Florida,829,505,29.3,13.55,10.33,5.53,0.535,0.03,0,0.034,3.22,2.48,0.772,8.83,6.24,2.59,2.2,1.75,0.76,0.4,2.62
2005,2,31,Salim Stoudamire,G,ATL,Arizona,157,1,17,8.03,6.99,2.84,0.407,2.9,1.06,0.366,1.45,1.28,0.882,1.36,1.22,0.14,1.04,1.01,0.35,0.06,1.53
2005,2,32,Daniel Ewing,G,LAC,Duke,127,8,13.3,3.39,3.28,1.28,0.389,0.96,0.28,0.295,0.72,0.56,0.78,1.24,0.99,0.25,1.37,0.84,0.54,0.08,1.17
2005,2,33,Brandon Bass,PF,NOP,LSU,758,283,21.6,8.67,6.76,3.37,0.499,0.08,0.02,0.207,2.3,1.91,0.832,4.55,3.04,1.5,0.8,0.95,0.39,0.63,1.81
2005,2,34,C.J. Miles,GF,UTH,Skyline High School  (Texas),715,299,20.9,9.8,8.46,3.53,0.418,3.91,1.41,0.361,1.64,1.33,0.807,2.45,1.99,0.46,1.13,0.91,0.74,0.3,2.19
2005,2,35,Ricky Sanchez,F,POR,IMG Academy (Florida),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
